Sourcefile	20160329 170223 Dosing_12CO_13CO.qmp
Exporttime	3/29/2016 05:36:11.625 PM

Start Time	3/29/2016 05:11:26.981 PM
End Time	3/29/2016 05:34:02.197 PM

		12C			13C			14N			H2O			CO/N2			13CO			CO2	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
3/29/2016 5:11:26 PM	0.000	1.435204e-012	3/29/2016 5:11:27 PM	0.229	1.520958e-013	3/29/2016 5:11:27 PM	0.461	1.672061e-013	3/29/2016 5:11:27 PM	0.687	5.573745e-013	3/29/2016 5:11:27 PM	0.911	6.669693e-012	3/29/2016 5:11:28 PM	1.136	2.742850e-013	3/29/2016 5:11:28 PM	1.362	4.877974e-013
3/29/2016 5:11:28 PM	1.578	8.998689e-013	3/29/2016 5:11:28 PM	1.793	2.172115e-013	3/29/2016 5:11:28 PM	2.008	2.208138e-013	3/29/2016 5:11:29 PM	2.232	8.373769e-013	3/29/2016 5:11:29 PM	2.447	6.662448e-012	3/29/2016 5:11:29 PM	2.674	4.932569e-013	3/29/2016 5:11:29 PM	2.893	6.006445e-013
3/29/2016 5:11:30 PM	3.110	1.137993e-012	3/29/2016 5:11:30 PM	3.333	2.460419e-013	3/29/2016 5:11:30 PM	3.554	2.720255e-013	3/29/2016 5:11:30 PM	3.773	7.637746e-013	3/29/2016 5:11:30 PM	3.987	6.778949e-012	3/29/2016 5:11:31 PM	4.206	5.506859e-013	3/29/2016 5:11:31 PM	4.427	6.078405e-013
3/29/2016 5:11:31 PM	4.648	1.162163e-012	3/29/2016 5:11:31 PM	4.866	2.228969e-013	3/29/2016 5:11:32 PM	5.088	2.984984e-013	3/29/2016 5:11:32 PM	5.313	8.314068e-013	3/29/2016 5:11:32 PM	5.528	6.787984e-012	3/29/2016 5:11:32 PM	5.747	5.028410e-013	3/29/2016 5:11:32 PM	5.975	6.279784e-013
3/29/2016 5:11:33 PM	6.200	1.037186e-012	3/29/2016 5:11:33 PM	6.418	2.675398e-013	3/29/2016 5:11:33 PM	6.637	3.141029e-013	3/29/2016 5:11:33 PM	6.856	9.142707e-013	3/29/2016 5:11:34 PM	7.072	6.649222e-012	3/29/2016 5:11:34 PM	7.300	5.008916e-013	3/29/2016 5:11:34 PM	7.520	6.259673e-013
3/29/2016 5:11:34 PM	7.742	1.121450e-012	3/29/2016 5:11:34 PM	7.962	2.654389e-013	3/29/2016 5:11:35 PM	8.177	2.693814e-013	3/29/2016 5:11:35 PM	8.399	9.235667e-013	3/29/2016 5:11:35 PM	8.615	6.610506e-012	3/29/2016 5:11:35 PM	8.842	5.352960e-013	3/29/2016 5:11:36 PM	9.066	5.383323e-013
3/29/2016 5:11:36 PM	9.289	1.090177e-012	3/29/2016 5:11:36 PM	9.506	1.996902e-013	3/29/2016 5:11:36 PM	9.732	2.942627e-013	3/29/2016 5:11:36 PM	9.956	9.162520e-013	3/29/2016 5:11:37 PM	10.173	6.491491e-012	3/29/2016 5:11:37 PM	10.396	4.523304e-013	3/29/2016 5:11:37 PM	10.621	6.165764e-013
3/29/2016 5:11:37 PM	10.853	9.495931e-013	3/29/2016 5:11:38 PM	11.068	2.088228e-013	3/29/2016 5:11:38 PM	11.284	2.588917e-013	3/29/2016 5:11:38 PM	11.507	7.824737e-013	3/29/2016 5:11:38 PM	11.722	6.458186e-012	3/29/2016 5:11:38 PM	11.948	4.582373e-013	3/29/2016 5:11:39 PM	12.171	5.805556e-013
3/29/2016 5:11:39 PM	12.386	1.036805e-012	3/29/2016 5:11:39 PM	12.601	2.291568e-013	3/29/2016 5:11:39 PM	12.822	2.671619e-013	3/29/2016 5:11:40 PM	13.045	9.282145e-013	3/29/2016 5:11:40 PM	13.261	6.505308e-012	3/29/2016 5:11:40 PM	13.483	4.947295e-013	3/29/2016 5:11:40 PM	13.707	5.957193e-013
3/29/2016 5:11:40 PM	13.938	1.012174e-012	3/29/2016 5:11:41 PM	14.159	2.104474e-013	3/29/2016 5:11:41 PM	14.382	2.986543e-013	3/29/2016 5:11:41 PM	14.604	9.394433e-013	3/29/2016 5:11:41 PM	14.820	6.606707e-012	3/29/2016 5:11:42 PM	15.041	4.915278e-013	3/29/2016 5:11:42 PM	15.264	5.542720e-013
3/29/2016 5:11:42 PM	15.485	9.974630e-013	3/29/2016 5:11:42 PM	15.701	2.230950e-013	3/29/2016 5:11:42 PM	15.917	2.743851e-013	3/29/2016 5:11:43 PM	16.140	7.280100e-013	3/29/2016 5:11:43 PM	16.355	6.415690e-012	3/29/2016 5:11:43 PM	16.582	4.853603e-013	3/29/2016 5:11:43 PM	16.810	5.582819e-013
3/29/2016 5:11:44 PM	17.030	7.798351e-013	3/29/2016 5:11:44 PM	17.248	2.280878e-013	3/29/2016 5:11:44 PM	17.468	2.719435e-013	3/29/2016 5:11:44 PM	17.702	9.478537e-013	3/29/2016 5:11:44 PM	17.918	6.391486e-012	3/29/2016 5:11:45 PM	18.149	4.761396e-013	3/29/2016 5:11:45 PM	18.376	6.319165e-013
3/29/2016 5:11:45 PM	18.591	9.647749e-013	3/29/2016 5:11:45 PM	18.812	2.316349e-013	3/29/2016 5:11:46 PM	19.036	2.853891e-013	3/29/2016 5:11:46 PM	19.263	9.153715e-013	3/29/2016 5:11:46 PM	19.479	6.366407e-012	3/29/2016 5:11:46 PM	19.706	4.715296e-013	3/29/2016 5:11:46 PM	19.929	5.141341e-013
3/29/2016 5:11:47 PM	20.168	1.101309e-012	3/29/2016 5:11:47 PM	20.389	2.413907e-013	3/29/2016 5:11:47 PM	20.606	2.540749e-013	3/29/2016 5:11:47 PM	20.833	9.252346e-013	3/29/2016 5:11:48 PM	21.048	6.382260e-012	3/29/2016 5:11:48 PM	21.270	4.619870e-013	3/29/2016 5:11:48 PM	21.491	5.426341e-013
3/29/2016 5:11:48 PM	21.720	1.049572e-012	3/29/2016 5:11:48 PM	21.942	2.191911e-013	3/29/2016 5:11:49 PM	22.158	2.692955e-013	3/29/2016 5:11:49 PM	22.383	8.057332e-013	3/29/2016 5:11:49 PM	22.599	6.296901e-012	3/29/2016 5:11:49 PM	22.826	3.755693e-013	3/29/2016 5:11:50 PM	23.057	5.399423e-013
3/29/2016 5:11:50 PM	23.281	9.864338e-013	3/29/2016 5:11:50 PM	23.503	2.489753e-013	3/29/2016 5:11:50 PM	23.729	3.061945e-013	3/29/2016 5:11:50 PM	23.950	9.198518e-013	3/29/2016 5:11:51 PM	24.166	6.109281e-012	3/29/2016 5:11:51 PM	24.397	4.272459e-013	3/29/2016 5:11:51 PM	24.622	5.607637e-013
3/29/2016 5:11:51 PM	24.844	8.855274e-013	3/29/2016 5:11:52 PM	25.067	2.116733e-013	3/29/2016 5:11:52 PM	25.287	3.043256e-013	3/29/2016 5:11:52 PM	25.523	9.284270e-013	3/29/2016 5:11:52 PM	25.739	6.230580e-012	3/29/2016 5:11:52 PM	25.958	4.441633e-013	3/29/2016 5:11:53 PM	26.192	5.346027e-013
3/29/2016 5:11:53 PM	26.416	1.039377e-012	3/29/2016 5:11:53 PM	26.639	1.885558e-013	3/29/2016 5:11:53 PM	26.854	2.730029e-013	3/29/2016 5:11:54 PM	27.081	8.172888e-013	3/29/2016 5:11:54 PM	27.296	6.140947e-012	3/29/2016 5:11:54 PM	27.524	5.018682e-013	3/29/2016 5:11:54 PM	27.750	5.571728e-013
3/29/2016 5:11:54 PM	27.979	1.077212e-012	3/29/2016 5:11:55 PM	28.201	2.180482e-013	3/29/2016 5:11:55 PM	28.422	2.787613e-013	3/29/2016 5:11:55 PM	28.645	7.993778e-013	3/29/2016 5:11:55 PM	28.860	5.985968e-012	3/29/2016 5:11:56 PM	29.081	3.985131e-013	3/29/2016 5:11:56 PM	29.304	6.101186e-013
3/29/2016 5:11:56 PM	29.527	9.101034e-013	3/29/2016 5:11:56 PM	29.742	2.292261e-013	3/29/2016 5:11:56 PM	29.962	2.625625e-013	3/29/2016 5:11:57 PM	30.183	9.546373e-013	3/29/2016 5:11:57 PM	30.399	6.047601e-012	3/29/2016 5:11:57 PM	30.628	4.546130e-013	3/29/2016 5:11:57 PM	30.855	6.359815e-013
3/29/2016 5:11:58 PM	31.070	9.689338e-013	3/29/2016 5:11:58 PM	31.285	2.195609e-013	3/29/2016 5:11:58 PM	31.502	2.851859e-013	3/29/2016 5:11:58 PM	31.722	7.626867e-013	3/29/2016 5:11:58 PM	31.937	6.109319e-012	3/29/2016 5:11:59 PM	32.157	4.558642e-013	3/29/2016 5:11:59 PM	32.382	5.727953e-013
3/29/2016 5:11:59 PM	32.614	1.012520e-012	3/29/2016 5:11:59 PM	32.830	2.119037e-013	3/29/2016 5:12:00 PM	33.045	2.492775e-013	3/29/2016 5:12:00 PM	33.275	8.804098e-013	3/29/2016 5:12:00 PM	33.490	6.009082e-012	3/29/2016 5:12:00 PM	33.715	4.330770e-013	3/29/2016 5:12:00 PM	33.935	5.498467e-013
3/29/2016 5:12:01 PM	34.162	8.884880e-013	3/29/2016 5:12:01 PM	34.378	2.442510e-013	3/29/2016 5:12:01 PM	34.597	2.845755e-013	3/29/2016 5:12:01 PM	34.819	6.600602e-013	3/29/2016 5:12:02 PM	35.034	5.796851e-012	3/29/2016 5:12:02 PM	35.260	4.337721e-013	3/29/2016 5:12:02 PM	35.486	5.275438e-013
3/29/2016 5:12:02 PM	35.708	9.611204e-013	3/29/2016 5:12:02 PM	35.930	2.353427e-013	3/29/2016 5:12:03 PM	36.150	2.631874e-013	3/29/2016 5:12:03 PM	36.389	8.753332e-013	3/29/2016 5:12:03 PM	36.604	5.863910e-012	3/29/2016 5:12:03 PM	36.822	4.603386e-013	3/29/2016 5:12:04 PM	37.043	5.554808e-013
3/29/2016 5:12:04 PM	37.261	9.004899e-013	3/29/2016 5:12:04 PM	37.490	1.996321e-013	3/29/2016 5:12:04 PM	37.713	2.658362e-013	3/29/2016 5:12:04 PM	37.933	8.728796e-013	3/29/2016 5:12:05 PM	38.149	5.965878e-012	3/29/2016 5:12:05 PM	38.374	4.534424e-013	3/29/2016 5:12:05 PM	38.599	4.525609e-013
3/29/2016 5:12:05 PM	38.837	9.861325e-013	3/29/2016 5:12:06 PM	39.052	1.696803e-013	3/29/2016 5:12:06 PM	39.267	2.588422e-013	3/29/2016 5:12:06 PM	39.482	6.635303e-013	3/29/2016 5:12:06 PM	39.697	5.829903e-012	3/29/2016 5:12:06 PM	39.920	4.222298e-013	3/29/2016 5:12:07 PM	40.146	6.371102e-013
3/29/2016 5:12:07 PM	40.366	8.530567e-013	3/29/2016 5:12:07 PM	40.590	2.195486e-013	3/29/2016 5:12:07 PM	40.821	2.602581e-013	3/29/2016 5:12:08 PM	41.049	7.408473e-013	3/29/2016 5:12:08 PM	41.264	5.810138e-012	3/29/2016 5:12:08 PM	41.487	4.137701e-013	3/29/2016 5:12:08 PM	41.712	5.802847e-013
3/29/2016 5:12:08 PM	41.935	9.451936e-013	3/29/2016 5:12:09 PM	42.154	2.164240e-013	3/29/2016 5:12:09 PM	42.370	2.655691e-013	3/29/2016 5:12:09 PM	42.593	9.006093e-013	3/29/2016 5:12:09 PM	42.808	5.823067e-012	3/29/2016 5:12:10 PM	43.040	4.405928e-013	3/29/2016 5:12:10 PM	43.260	4.799931e-013
3/29/2016 5:12:10 PM	43.493	8.763601e-013	3/29/2016 5:12:10 PM	43.713	2.275431e-013	3/29/2016 5:12:10 PM	43.928	2.913886e-013	3/29/2016 5:12:11 PM	44.148	8.033570e-013	3/29/2016 5:12:11 PM	44.363	5.836145e-012	3/29/2016 5:12:11 PM	44.580	3.909273e-013	3/29/2016 5:12:11 PM	44.807	5.980298e-013
3/29/2016 5:12:12 PM	45.031	9.995041e-013	3/29/2016 5:12:12 PM	45.245	2.019260e-013	3/29/2016 5:12:12 PM	45.469	2.761293e-013	3/29/2016 5:12:12 PM	45.700	8.016633e-013	3/29/2016 5:12:12 PM	45.915	5.809250e-012	3/29/2016 5:12:13 PM	46.142	4.339559e-013	3/29/2016 5:12:13 PM	46.369	5.695360e-013
3/29/2016 5:12:13 PM	46.586	9.385244e-013	3/29/2016 5:12:13 PM	46.803	2.219394e-013	3/29/2016 5:12:14 PM	47.023	2.508108e-013	3/29/2016 5:12:14 PM	47.247	7.841679e-013	3/29/2016 5:12:14 PM	47.462	5.620714e-012	3/29/2016 5:12:14 PM	47.681	3.967265e-013	3/29/2016 5:12:14 PM	47.901	5.842297e-013
3/29/2016 5:12:15 PM	48.116	9.722153e-013	3/29/2016 5:12:15 PM	48.344	2.154621e-013	3/29/2016 5:12:15 PM	48.571	2.533752e-013	3/29/2016 5:12:15 PM	48.816	7.968462e-013	3/29/2016 5:12:16 PM	49.031	5.662688e-012	3/29/2016 5:12:16 PM	49.250	4.629218e-013	3/29/2016 5:12:16 PM	49.471	5.177830e-013
3/29/2016 5:12:16 PM	49.698	9.258190e-013	3/29/2016 5:12:16 PM	49.913	1.657133e-013	3/29/2016 5:12:17 PM	50.129	2.853005e-013	3/29/2016 5:12:17 PM	50.386	5.521640e-013	3/29/2016 5:12:17 PM	50.602	5.862915e-012	3/29/2016 5:12:17 PM	50.826	4.154002e-013	3/29/2016 5:12:18 PM	51.053	5.404160e-013
3/29/2016 5:12:18 PM	51.277	7.916825e-013	3/29/2016 5:12:18 PM	51.493	2.085731e-013	3/29/2016 5:12:18 PM	51.716	2.462287e-013	3/29/2016 5:12:18 PM	51.951	9.507240e-013	3/29/2016 5:12:19 PM	52.167	5.445434e-012	3/29/2016 5:12:19 PM	52.392	4.133427e-013	3/29/2016 5:12:19 PM	52.618	6.162003e-013
3/29/2016 5:12:19 PM	52.845	7.580775e-013	3/29/2016 5:12:20 PM	53.066	2.132019e-013	3/29/2016 5:12:20 PM	53.288	2.664752e-013	3/29/2016 5:12:20 PM	53.521	8.477532e-013	3/29/2016 5:12:20 PM	53.736	5.662155e-012	3/29/2016 5:12:20 PM	53.955	4.318983e-013	3/29/2016 5:12:21 PM	54.182	5.714990e-013
3/29/2016 5:12:21 PM	54.406	8.837042e-013	3/29/2016 5:12:21 PM	54.629	1.983811e-013	3/29/2016 5:12:21 PM	54.845	2.505975e-013	3/29/2016 5:12:22 PM	55.073	9.352134e-013	3/29/2016 5:12:22 PM	55.289	5.528173e-012	3/29/2016 5:12:22 PM	55.510	4.244443e-013	3/29/2016 5:12:22 PM	55.736	5.440938e-013
3/29/2016 5:12:22 PM	55.960	9.852123e-013	3/29/2016 5:12:23 PM	56.175	2.402714e-013	3/29/2016 5:12:23 PM	56.393	2.668668e-013	3/29/2016 5:12:23 PM	56.630	7.597254e-013	3/29/2016 5:12:23 PM	56.846	5.587043e-012	3/29/2016 5:12:24 PM	57.072	4.134433e-013	3/29/2016 5:12:24 PM	57.286	5.437938e-013
3/29/2016 5:12:24 PM	57.502	8.973807e-013	3/29/2016 5:12:24 PM	57.723	2.180056e-013	3/29/2016 5:12:24 PM	57.947	2.376052e-013	3/29/2016 5:12:25 PM	58.175	7.980310e-013	3/29/2016 5:12:25 PM	58.389	5.582280e-012	3/29/2016 5:12:25 PM	58.608	3.982379e-013	3/29/2016 5:12:25 PM	58.823	6.154637e-013
3/29/2016 5:12:26 PM	59.047	7.818480e-013	3/29/2016 5:12:26 PM	59.267	2.268819e-013	3/29/2016 5:12:26 PM	59.490	2.540923e-013	3/29/2016 5:12:26 PM	59.714	8.066370e-013	3/29/2016 5:12:26 PM	59.930	5.495075e-012	3/29/2016 5:12:27 PM	60.153	3.990958e-013	3/29/2016 5:12:27 PM	60.379	5.055630e-013
3/29/2016 5:12:27 PM	60.608	9.148649e-013	3/29/2016 5:12:27 PM	60.826	2.017070e-013	3/29/2016 5:12:28 PM	61.048	2.642750e-013	3/29/2016 5:12:28 PM	61.271	9.192961e-013	3/29/2016 5:12:28 PM	61.487	5.592756e-012	3/29/2016 5:12:28 PM	61.711	4.078824e-013	3/29/2016 5:12:28 PM	61.935	5.796175e-013
3/29/2016 5:12:29 PM	62.165	9.499614e-013	3/29/2016 5:12:29 PM	62.380	1.829489e-013	3/29/2016 5:12:29 PM	62.602	2.681367e-013	3/29/2016 5:12:29 PM	62.843	7.974237e-013	3/29/2016 5:12:30 PM	63.059	5.380132e-012	3/29/2016 5:12:30 PM	63.280	3.949882e-013	3/29/2016 5:12:30 PM	63.510	5.701906e-013
3/29/2016 5:12:30 PM	63.734	8.740913e-013	3/29/2016 5:12:30 PM	63.949	2.306060e-013	3/29/2016 5:12:31 PM	64.164	2.446199e-013	3/29/2016 5:12:31 PM	64.394	8.441085e-013	3/29/2016 5:12:31 PM	64.609	5.373781e-012	3/29/2016 5:12:31 PM	64.825	3.422965e-013	3/29/2016 5:12:32 PM	65.041	5.902972e-013
3/29/2016 5:12:32 PM	65.263	8.940605e-013	3/29/2016 5:12:32 PM	65.483	2.221435e-013	3/29/2016 5:12:32 PM	65.706	2.415369e-013	3/29/2016 5:12:32 PM	65.928	8.514274e-013	3/29/2016 5:12:33 PM	66.143	5.261822e-012	3/29/2016 5:12:33 PM	66.368	4.140732e-013	3/29/2016 5:12:33 PM	66.588	5.345080e-013
3/29/2016 5:12:33 PM	66.810	8.183322e-013	3/29/2016 5:12:34 PM	67.031	2.041724e-013	3/29/2016 5:12:34 PM	67.254	2.930626e-013	3/29/2016 5:12:34 PM	67.476	7.057648e-013	3/29/2016 5:12:34 PM	67.691	5.296751e-012	3/29/2016 5:12:34 PM	67.905	4.088611e-013	3/29/2016 5:12:35 PM	68.133	5.364023e-013
3/29/2016 5:12:35 PM	68.371	8.411466e-013	3/29/2016 5:12:35 PM	68.587	1.962396e-013	3/29/2016 5:12:35 PM	68.803	2.585174e-013	3/29/2016 5:12:36 PM	69.035	8.725997e-013	3/29/2016 5:12:36 PM	69.250	5.308436e-012	3/29/2016 5:12:36 PM	69.473	3.943067e-013	3/29/2016 5:12:36 PM	69.696	5.942830e-013
3/29/2016 5:12:36 PM	69.921	8.242114e-013	3/29/2016 5:12:37 PM	70.142	2.319643e-013	3/29/2016 5:12:37 PM	70.363	2.104878e-013	3/29/2016 5:12:37 PM	70.588	7.928495e-013	3/29/2016 5:12:37 PM	70.804	5.245224e-012	3/29/2016 5:12:38 PM	71.030	3.653814e-013	3/29/2016 5:12:38 PM	71.257	5.250855e-013
3/29/2016 5:12:38 PM	71.488	7.928419e-013	3/29/2016 5:12:38 PM	71.708	2.209732e-013	3/29/2016 5:12:38 PM	71.936	2.496128e-013	3/29/2016 5:12:39 PM	72.187	8.660426e-013	3/29/2016 5:12:39 PM	72.401	5.352304e-012	3/29/2016 5:12:39 PM	72.630	4.343353e-013	3/29/2016 5:12:39 PM	72.849	4.808056e-013
3/29/2016 5:12:40 PM	73.078	9.124124e-013	3/29/2016 5:12:40 PM	73.299	2.239595e-013	3/29/2016 5:12:40 PM	73.524	2.696984e-013	3/29/2016 5:12:40 PM	73.757	7.946062e-013	3/29/2016 5:12:40 PM	73.971	5.377250e-012	3/29/2016 5:12:41 PM	74.196	4.040159e-013	3/29/2016 5:12:41 PM	74.423	5.528297e-013
3/29/2016 5:12:41 PM	74.647	9.293918e-013	3/29/2016 5:12:41 PM	74.872	2.037932e-013	3/29/2016 5:12:42 PM	75.087	2.724668e-013	3/29/2016 5:12:42 PM	75.309	8.405103e-013	3/29/2016 5:12:42 PM	75.523	5.316493e-012	3/29/2016 5:12:42 PM	75.745	3.382990e-013	3/29/2016 5:12:42 PM	75.984	5.176072e-013
3/29/2016 5:12:43 PM	76.210	8.488609e-013	3/29/2016 5:12:43 PM	76.427	1.999244e-013	3/29/2016 5:12:43 PM	76.650	2.204557e-013	3/29/2016 5:12:43 PM	76.884	7.388970e-013	3/29/2016 5:12:44 PM	77.099	5.181188e-012	3/29/2016 5:12:44 PM	77.328	3.967390e-013	3/29/2016 5:12:44 PM	77.553	5.979585e-013
3/29/2016 5:12:44 PM	77.781	8.502172e-013	3/29/2016 5:12:44 PM	77.996	2.127528e-013	3/29/2016 5:12:45 PM	78.214	2.652303e-013	3/29/2016 5:12:45 PM	78.436	8.441421e-013	3/29/2016 5:12:45 PM	78.651	5.200079e-012	3/29/2016 5:12:45 PM	78.870	4.356274e-013	3/29/2016 5:12:46 PM	79.086	5.458192e-013
