Sourcefile	20160329 151018 Dosing_12CO_13CO.qmp
Exporttime	3/29/2016 04:33:59.090 PM

Start Time	3/29/2016 03:22:29.453 PM
End Time	3/29/2016 04:33:52.017 PM

		12C			13C			14N			H2O			CO/N2			13CO			CO2	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
3/29/2016 3:22:29 PM	0.000	1.190629e-012	3/29/2016 3:22:29 PM	0.233	1.319379e-013	3/29/2016 3:22:29 PM	0.457	1.380819e-013	3/29/2016 3:22:30 PM	0.681	2.580801e-012	3/29/2016 3:22:30 PM	0.905	3.525605e-012	3/29/2016 3:22:30 PM	1.129	1.345193e-013	3/29/2016 3:22:30 PM	1.362	1.137951e-012
3/29/2016 3:22:31 PM	1.586	7.105543e-013	3/29/2016 3:22:31 PM	1.805	2.058596e-013	3/29/2016 3:22:31 PM	2.020	2.544463e-013	3/29/2016 3:22:31 PM	2.233	2.757190e-012	3/29/2016 3:22:31 PM	2.448	3.664622e-012	3/29/2016 3:22:32 PM	2.670	2.656597e-013	3/29/2016 3:22:32 PM	2.888	1.224604e-012
3/29/2016 3:22:32 PM	3.111	8.276913e-013	3/29/2016 3:22:32 PM	3.325	2.265115e-013	3/29/2016 3:22:32 PM	3.540	2.685964e-013	3/29/2016 3:22:33 PM	3.754	2.774054e-012	3/29/2016 3:22:33 PM	3.968	3.851732e-012	3/29/2016 3:22:33 PM	4.189	2.956803e-013	3/29/2016 3:22:33 PM	4.414	1.288635e-012
3/29/2016 3:22:34 PM	4.637	7.592256e-013	3/29/2016 3:22:34 PM	4.855	2.417716e-013	3/29/2016 3:22:34 PM	5.077	2.614930e-013	3/29/2016 3:22:34 PM	5.290	2.760804e-012	3/29/2016 3:22:34 PM	5.505	3.700382e-012	3/29/2016 3:22:35 PM	5.723	2.913141e-013	3/29/2016 3:22:35 PM	5.937	1.260048e-012
3/29/2016 3:22:35 PM	6.160	8.747745e-013	3/29/2016 3:22:35 PM	6.375	2.425039e-013	3/29/2016 3:22:36 PM	6.590	2.691817e-013	3/29/2016 3:22:36 PM	6.805	2.777036e-012	3/29/2016 3:22:36 PM	7.021	3.706837e-012	3/29/2016 3:22:36 PM	7.238	2.873762e-013	3/29/2016 3:22:36 PM	7.457	1.242919e-012
3/29/2016 3:22:37 PM	7.689	8.115463e-013	3/29/2016 3:22:37 PM	7.911	2.405074e-013	3/29/2016 3:22:37 PM	8.128	2.480771e-013	3/29/2016 3:22:37 PM	8.344	2.789576e-012	3/29/2016 3:22:38 PM	8.559	3.765384e-012	3/29/2016 3:22:38 PM	8.773	2.812882e-013	3/29/2016 3:22:38 PM	8.993	1.208687e-012
3/29/2016 3:22:38 PM	9.219	8.122823e-013	3/29/2016 3:22:38 PM	9.444	2.294716e-013	3/29/2016 3:22:39 PM	9.674	2.530574e-013	3/29/2016 3:22:39 PM	9.887	2.709227e-012	3/29/2016 3:22:39 PM	10.104	3.656925e-012	3/29/2016 3:22:39 PM	10.320	2.613496e-013	3/29/2016 3:22:39 PM	10.540	1.171744e-012
3/29/2016 3:22:40 PM	10.772	6.708789e-013	3/29/2016 3:22:40 PM	10.988	2.118280e-013	3/29/2016 3:22:40 PM	11.203	2.274274e-013	3/29/2016 3:22:40 PM	11.418	2.713466e-012	3/29/2016 3:22:41 PM	11.634	3.693887e-012	3/29/2016 3:22:41 PM	11.849	2.535405e-013	3/29/2016 3:22:41 PM	12.070	1.204026e-012
3/29/2016 3:22:41 PM	12.294	7.503834e-013	3/29/2016 3:22:41 PM	12.510	2.062594e-013	3/29/2016 3:22:42 PM	12.731	2.497501e-013	3/29/2016 3:22:42 PM	12.947	2.606712e-012	3/29/2016 3:22:42 PM	13.163	3.582252e-012	3/29/2016 3:22:42 PM	13.379	2.455614e-013	3/29/2016 3:22:43 PM	13.613	1.167270e-012
3/29/2016 3:22:43 PM	13.847	7.100289e-013	3/29/2016 3:22:43 PM	14.062	1.957798e-013	3/29/2016 3:22:43 PM	14.278	2.367129e-013	3/29/2016 3:22:43 PM	14.494	2.612980e-012	3/29/2016 3:22:44 PM	14.708	3.649023e-012	3/29/2016 3:22:44 PM	14.930	2.497903e-013	3/29/2016 3:22:44 PM	15.151	1.255087e-012
3/29/2016 3:22:44 PM	15.371	7.668040e-013	3/29/2016 3:22:45 PM	15.586	1.995914e-013	3/29/2016 3:22:45 PM	15.800	2.465616e-013	3/29/2016 3:22:45 PM	16.013	2.681789e-012	3/29/2016 3:22:45 PM	16.229	3.695567e-012	3/29/2016 3:22:45 PM	16.449	2.892330e-013	3/29/2016 3:22:46 PM	16.668	1.231458e-012
3/29/2016 3:22:46 PM	16.897	8.526783e-013	3/29/2016 3:22:46 PM	17.111	2.209473e-013	3/29/2016 3:22:46 PM	17.326	2.451540e-013	3/29/2016 3:22:46 PM	17.540	2.621614e-012	3/29/2016 3:22:47 PM	17.755	3.607802e-012	3/29/2016 3:22:47 PM	17.982	2.647703e-013	3/29/2016 3:22:47 PM	18.209	1.212002e-012
3/29/2016 3:22:47 PM	18.444	7.605001e-013	3/29/2016 3:22:48 PM	18.660	1.990474e-013	3/29/2016 3:22:48 PM	18.874	2.449050e-013	3/29/2016 3:22:48 PM	19.089	2.595111e-012	3/29/2016 3:22:48 PM	19.304	3.666140e-012	3/29/2016 3:22:48 PM	19.522	2.464285e-013	3/29/2016 3:22:49 PM	19.738	1.203351e-012
