Sourcefile	20160324 155631 Dosing_12CO_13CO.qmp
Exporttime	3/24/2016 04:13:28.217 PM

Start Time	3/24/2016 03:58:05.578 PM
End Time	3/24/2016 04:13:21.294 PM

		12C			13C			14N			H2O			CO/N2			13CO			CO2	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
3/24/2016 3:58:05 PM	0.000	9.424329e-013	3/24/2016 3:58:05 PM	0.238	1.491431e-013	3/24/2016 3:58:06 PM	0.472	1.086231e-013	3/24/2016 3:58:06 PM	0.715	9.884254e-013	3/24/2016 3:58:06 PM	0.939	2.678379e-012	3/24/2016 3:58:06 PM	1.164	1.616806e-013	3/24/2016 3:58:06 PM	1.409	5.238762e-013
3/24/2016 3:58:07 PM	1.630	5.743993e-013	3/24/2016 3:58:07 PM	1.853	1.655799e-013	3/24/2016 3:58:07 PM	2.075	2.634772e-013	3/24/2016 3:58:07 PM	2.294	1.040201e-012	3/24/2016 3:58:08 PM	2.512	2.869120e-012	3/24/2016 3:58:08 PM	2.736	3.245439e-013	3/24/2016 3:58:08 PM	2.963	6.793899e-013
3/24/2016 3:58:08 PM	3.187	6.139032e-013	3/24/2016 3:58:08 PM	3.409	2.209457e-013	3/24/2016 3:58:09 PM	3.624	2.939475e-013	3/24/2016 3:58:09 PM	3.839	1.098520e-012	3/24/2016 3:58:09 PM	4.055	2.909606e-012	3/24/2016 3:58:09 PM	4.282	2.792986e-013	3/24/2016 3:58:10 PM	4.517	7.414581e-013
3/24/2016 3:58:10 PM	4.744	5.634116e-013	3/24/2016 3:58:10 PM	4.960	2.395954e-013	3/24/2016 3:58:10 PM	5.181	2.645594e-013	3/24/2016 3:58:10 PM	5.419	1.194682e-012	3/24/2016 3:58:11 PM	5.634	3.007081e-012	3/24/2016 3:58:11 PM	5.856	2.872306e-013	3/24/2016 3:58:11 PM	6.089	7.477684e-013
3/24/2016 3:58:11 PM	6.322	6.070124e-013	3/24/2016 3:58:12 PM	6.537	2.517335e-013	3/24/2016 3:58:12 PM	6.760	3.051309e-013	3/24/2016 3:58:12 PM	6.980	1.097575e-012	3/24/2016 3:58:12 PM	7.196	2.879726e-012	3/24/2016 3:58:12 PM	7.418	3.332183e-013	3/24/2016 3:58:13 PM	7.639	6.334907e-013
3/24/2016 3:58:13 PM	7.873	5.812259e-013	3/24/2016 3:58:13 PM	8.103	2.167133e-013	3/24/2016 3:58:13 PM	8.332	2.747967e-013	3/24/2016 3:58:14 PM	8.552	1.127216e-012	3/24/2016 3:58:14 PM	8.768	2.876103e-012	3/24/2016 3:58:14 PM	8.988	2.671470e-013	3/24/2016 3:58:14 PM	9.209	6.625438e-013
3/24/2016 3:58:15 PM	9.433	5.685296e-013	3/24/2016 3:58:15 PM	9.654	2.342155e-013	3/24/2016 3:58:15 PM	9.878	3.024610e-013	3/24/2016 3:58:15 PM	10.127	8.690484e-013	3/24/2016 3:58:15 PM	10.342	2.834236e-012	3/24/2016 3:58:16 PM	10.568	2.745151e-013	3/24/2016 3:58:16 PM	10.789	6.640492e-013
3/24/2016 3:58:16 PM	11.016	5.228399e-013	3/24/2016 3:58:16 PM	11.238	2.208739e-013	3/24/2016 3:58:17 PM	11.458	2.424339e-013	3/24/2016 3:58:17 PM	11.680	1.086589e-012	3/24/2016 3:58:17 PM	11.894	2.853595e-012	3/24/2016 3:58:17 PM	12.113	2.707824e-013	3/24/2016 3:58:17 PM	12.337	6.529401e-013
3/24/2016 3:58:18 PM	12.563	5.656360e-013	3/24/2016 3:58:18 PM	12.784	2.325581e-013	3/24/2016 3:58:18 PM	12.998	2.607685e-013	3/24/2016 3:58:18 PM	13.225	1.048238e-012	3/24/2016 3:58:19 PM	13.440	2.913171e-012	3/24/2016 3:58:19 PM	13.662	2.935664e-013	3/24/2016 3:58:19 PM	13.882	6.342358e-013
3/24/2016 3:58:19 PM	14.106	5.805278e-013	3/24/2016 3:58:19 PM	14.329	2.011499e-013	3/24/2016 3:58:20 PM	14.551	2.437725e-013	3/24/2016 3:58:20 PM	14.777	9.120741e-013	3/24/2016 3:58:20 PM	14.993	2.846138e-012	3/24/2016 3:58:20 PM	15.212	2.281549e-013	3/24/2016 3:58:21 PM	15.442	6.511703e-013
3/24/2016 3:58:21 PM	15.662	5.215566e-013	3/24/2016 3:58:21 PM	15.877	2.238506e-013	3/24/2016 3:58:21 PM	16.096	2.682991e-013	3/24/2016 3:58:21 PM	16.324	1.019802e-012	3/24/2016 3:58:22 PM	16.537	2.910052e-012	3/24/2016 3:58:22 PM	16.761	3.005978e-013	3/24/2016 3:58:22 PM	16.983	7.397352e-013
3/24/2016 3:58:22 PM	17.209	4.950380e-013	3/24/2016 3:58:23 PM	17.430	2.162863e-013	3/24/2016 3:58:23 PM	17.648	2.561573e-013	3/24/2016 3:58:23 PM	17.891	1.192964e-012	3/24/2016 3:58:23 PM	18.107	2.810429e-012	3/24/2016 3:58:23 PM	18.336	2.818641e-013	3/24/2016 3:58:24 PM	18.551	5.978344e-013
3/24/2016 3:58:24 PM	18.775	5.485364e-013	3/24/2016 3:58:24 PM	18.995	1.952631e-013	3/24/2016 3:58:24 PM	19.212	2.728518e-013	3/24/2016 3:58:25 PM	19.446	1.174436e-012	3/24/2016 3:58:25 PM	19.661	2.864749e-012	3/24/2016 3:58:25 PM	19.887	2.972714e-013	3/24/2016 3:58:25 PM	20.109	6.457266e-013
3/24/2016 3:58:25 PM	20.332	5.984074e-013	3/24/2016 3:58:26 PM	20.556	1.903607e-013	3/24/2016 3:58:26 PM	20.775	2.498153e-013	3/24/2016 3:58:26 PM	21.017	8.741660e-013	3/24/2016 3:58:26 PM	21.232	2.910531e-012	3/24/2016 3:58:27 PM	21.453	3.171780e-013	3/24/2016 3:58:27 PM	21.673	6.436343e-013
3/24/2016 3:58:27 PM	21.900	5.475258e-013	3/24/2016 3:58:27 PM	22.125	2.123528e-013	3/24/2016 3:58:27 PM	22.346	2.677718e-013	3/24/2016 3:58:28 PM	22.567	1.004532e-012	3/24/2016 3:58:28 PM	22.782	2.991422e-012	3/24/2016 3:58:28 PM	23.002	2.617821e-013	3/24/2016 3:58:28 PM	23.231	6.994197e-013
3/24/2016 3:58:29 PM	23.458	5.185598e-013	3/24/2016 3:58:29 PM	23.676	2.006178e-013	3/24/2016 3:58:29 PM	23.899	2.170423e-013	3/24/2016 3:58:29 PM	24.115	1.091123e-012	3/24/2016 3:58:29 PM	24.332	2.940114e-012	3/24/2016 3:58:30 PM	24.557	2.782344e-013	3/24/2016 3:58:30 PM	24.793	5.657244e-013
3/24/2016 3:58:30 PM	25.011	5.300667e-013	3/24/2016 3:58:30 PM	25.232	2.256608e-013	3/24/2016 3:58:31 PM	25.459	2.429805e-013	3/24/2016 3:58:31 PM	25.690	8.840292e-013	3/24/2016 3:58:31 PM	25.906	2.808243e-012	3/24/2016 3:58:31 PM	26.120	2.876041e-013	3/24/2016 3:58:31 PM	26.349	5.838726e-013
