Sourcefile	20160324 171729 Dosing_12CO_13CO.qmp
Exporttime	3/24/2016 06:00:12.921 PM

Start Time	3/24/2016 05:23:31.820 PM
End Time	3/24/2016 06:00:06.853 PM

		12C			13C			14N			H2O			CO/N2			13CO			CO2	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
3/24/2016 5:23:31 PM	0.000	1.007827e-012	3/24/2016 5:23:32 PM	0.233	1.764757e-013	3/24/2016 5:23:32 PM	0.459	1.600589e-013	3/24/2016 5:23:32 PM	0.699	1.175066e-012	3/24/2016 5:23:32 PM	0.924	3.292957e-012	3/24/2016 5:23:32 PM	1.155	4.934967e-013	3/24/2016 5:23:33 PM	1.386	7.866722e-013
3/24/2016 5:23:33 PM	1.610	5.810201e-013	3/24/2016 5:23:33 PM	1.824	2.705619e-013	3/24/2016 5:23:33 PM	2.039	2.597355e-013	3/24/2016 5:23:34 PM	2.252	1.267284e-012	3/24/2016 5:23:34 PM	2.468	3.426818e-012	3/24/2016 5:23:34 PM	2.690	7.144159e-013	3/24/2016 5:23:34 PM	2.918	1.105490e-012
3/24/2016 5:23:34 PM	3.147	6.350911e-013	3/24/2016 5:23:35 PM	3.360	2.879799e-013	3/24/2016 5:23:35 PM	3.581	2.806622e-013	3/24/2016 5:23:35 PM	3.796	1.275853e-012	3/24/2016 5:23:35 PM	4.011	3.351456e-012	3/24/2016 5:23:36 PM	4.234	6.468943e-013	3/24/2016 5:23:36 PM	4.453	1.029300e-012
3/24/2016 5:23:36 PM	4.685	6.498004e-013	3/24/2016 5:23:36 PM	4.900	2.965639e-013	3/24/2016 5:23:36 PM	5.115	2.842846e-013	3/24/2016 5:23:37 PM	5.339	1.155696e-012	3/24/2016 5:23:37 PM	5.555	3.304637e-012	3/24/2016 5:23:37 PM	5.774	6.276086e-013	3/24/2016 5:23:37 PM	5.996	9.145056e-013
3/24/2016 5:23:38 PM	6.220	6.347142e-013	3/24/2016 5:23:38 PM	6.435	3.022719e-013	3/24/2016 5:23:38 PM	6.657	2.744692e-013	3/24/2016 5:23:38 PM	6.882	1.379913e-012	3/24/2016 5:23:38 PM	7.097	3.384321e-012	3/24/2016 5:23:39 PM	7.334	6.630669e-013	3/24/2016 5:23:39 PM	7.569	9.805208e-013
3/24/2016 5:23:39 PM	7.802	5.972945e-013	3/24/2016 5:23:39 PM	8.018	2.846760e-013	3/24/2016 5:23:40 PM	8.240	2.913249e-013	3/24/2016 5:23:40 PM	8.472	1.255154e-012	3/24/2016 5:23:40 PM	8.688	3.359179e-012	3/24/2016 5:23:40 PM	8.921	6.298344e-013	3/24/2016 5:23:40 PM	9.144	9.212400e-013
3/24/2016 5:23:41 PM	9.365	5.963991e-013	3/24/2016 5:23:41 PM	9.586	2.739472e-013	3/24/2016 5:23:41 PM	9.801	2.758929e-013	3/24/2016 5:23:41 PM	10.019	1.295435e-012	3/24/2016 5:23:42 PM	10.236	3.332840e-012	3/24/2016 5:23:42 PM	10.461	7.122429e-013	3/24/2016 5:23:42 PM	10.680	1.043143e-012
3/24/2016 5:23:42 PM	10.908	6.640427e-013	3/24/2016 5:23:42 PM	11.123	2.586238e-013	3/24/2016 5:23:43 PM	11.339	2.606286e-013	3/24/2016 5:23:43 PM	11.554	1.258311e-012	3/24/2016 5:23:43 PM	11.769	3.372032e-012	3/24/2016 5:23:43 PM	11.993	6.530548e-013	3/24/2016 5:23:44 PM	12.213	9.552635e-013
3/24/2016 5:23:44 PM	12.435	5.994129e-013	3/24/2016 5:23:44 PM	12.659	2.467734e-013	3/24/2016 5:23:44 PM	12.874	2.498010e-013	3/24/2016 5:23:44 PM	13.088	1.182528e-012	3/24/2016 5:23:45 PM	13.303	3.328248e-012	3/24/2016 5:23:45 PM	13.532	5.913879e-013	3/24/2016 5:23:45 PM	13.760	9.383572e-013
3/24/2016 5:23:45 PM	13.991	5.913999e-013	3/24/2016 5:23:46 PM	14.214	2.767555e-013	3/24/2016 5:23:46 PM	14.433	2.628354e-013	3/24/2016 5:23:46 PM	14.649	1.252626e-012	3/24/2016 5:23:46 PM	14.865	3.367971e-012	3/24/2016 5:23:46 PM	15.092	7.434723e-013	3/24/2016 5:23:47 PM	15.323	9.806694e-013
