Sourcefile	20160323 160157 Dosing 13CO H2O.qmp
Exporttime	3/23/2016 04:21:57.775 PM

Start Time	3/23/2016 04:03:43.570 PM
End Time	3/23/2016 04:21:26.637 PM

		12C			13C			14N			H2O			CO/N2			13CO			CO2	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
3/23/2016 4:03:43 PM	0.000	7.921005e-013	3/23/2016 4:03:43 PM	0.226	1.193785e-013	3/23/2016 4:03:44 PM	0.463	1.507400e-013	3/23/2016 4:03:44 PM	0.689	5.054902e-013	3/23/2016 4:03:44 PM	0.923	2.001397e-012	3/23/2016 4:03:44 PM	1.149	1.224234e-013	3/23/2016 4:03:44 PM	1.383	4.681652e-013
3/23/2016 4:03:45 PM	1.609	4.427830e-013	3/23/2016 4:03:45 PM	1.823	1.983481e-013	3/23/2016 4:03:45 PM	2.048	2.609090e-013	3/23/2016 4:03:45 PM	2.272	7.818599e-013	3/23/2016 4:03:46 PM	2.487	2.091961e-012	3/23/2016 4:03:46 PM	2.703	2.529654e-013	3/23/2016 4:03:46 PM	2.922	5.165744e-013
3/23/2016 4:03:46 PM	3.155	5.841693e-013	3/23/2016 4:03:46 PM	3.375	2.038187e-013	3/23/2016 4:03:47 PM	3.598	2.703573e-013	3/23/2016 4:03:47 PM	3.832	7.412998e-013	3/23/2016 4:03:47 PM	4.045	2.165847e-012	3/23/2016 4:03:47 PM	4.266	2.658494e-013	3/23/2016 4:03:48 PM	4.489	6.459101e-013
3/23/2016 4:03:48 PM	4.711	5.183115e-013	3/23/2016 4:03:48 PM	4.930	2.390956e-013	3/23/2016 4:03:48 PM	5.146	2.698492e-013	3/23/2016 4:03:48 PM	5.380	6.383609e-013	3/23/2016 4:03:49 PM	5.595	1.990987e-012	3/23/2016 4:03:49 PM	5.811	2.347294e-013	3/23/2016 4:03:49 PM	6.035	6.158984e-013
3/23/2016 4:03:49 PM	6.265	5.598789e-013	3/23/2016 4:03:50 PM	6.479	2.321372e-013	3/23/2016 4:03:50 PM	6.703	2.698531e-013	3/23/2016 4:03:50 PM	6.923	7.210830e-013	3/23/2016 4:03:50 PM	7.139	2.055953e-012	3/23/2016 4:03:50 PM	7.359	2.671394e-013	3/23/2016 4:03:51 PM	7.582	5.785615e-013
3/23/2016 4:03:51 PM	7.809	5.368359e-013	3/23/2016 4:03:51 PM	8.036	2.165989e-013	3/23/2016 4:03:51 PM	8.259	2.618193e-013	3/23/2016 4:03:52 PM	8.486	7.212401e-013	3/23/2016 4:03:52 PM	8.700	2.075231e-012	3/23/2016 4:03:52 PM	8.920	2.571965e-013	3/23/2016 4:03:52 PM	9.142	5.520911e-013
3/23/2016 4:03:52 PM	9.366	5.471481e-013	3/23/2016 4:03:53 PM	9.586	1.881493e-013	3/23/2016 4:03:53 PM	9.810	2.688057e-013	3/23/2016 4:03:53 PM	10.031	6.515828e-013	3/23/2016 4:03:53 PM	10.247	2.009900e-012	3/23/2016 4:03:54 PM	10.466	2.607621e-013	3/23/2016 4:03:54 PM	10.688	5.297716e-013
3/23/2016 4:03:54 PM	10.914	5.110187e-013	3/23/2016 4:03:54 PM	11.128	1.944206e-013	3/23/2016 4:03:54 PM	11.349	2.439385e-013	3/23/2016 4:03:55 PM	11.573	7.093779e-013	3/23/2016 4:03:55 PM	11.789	2.009426e-012	3/23/2016 4:03:55 PM	12.011	2.255229e-013	3/23/2016 4:03:55 PM	12.232	5.181267e-013
3/23/2016 4:03:56 PM	12.461	4.968124e-013	3/23/2016 4:03:56 PM	12.682	2.117120e-013	3/23/2016 4:03:56 PM	12.898	2.392187e-013	3/23/2016 4:03:56 PM	13.127	8.478495e-013	3/23/2016 4:03:56 PM	13.343	2.134965e-012	3/23/2016 4:03:57 PM	13.563	2.512622e-013	3/23/2016 4:03:57 PM	13.791	5.349115e-013
3/23/2016 4:03:57 PM	14.017	4.814897e-013	3/23/2016 4:03:57 PM	14.237	1.942772e-013	3/23/2016 4:03:58 PM	14.453	2.452538e-013	3/23/2016 4:03:58 PM	14.680	6.971854e-013	3/23/2016 4:03:58 PM	14.895	2.168170e-012	3/23/2016 4:03:58 PM	15.115	2.328030e-013	3/23/2016 4:03:58 PM	15.342	5.681646e-013
3/23/2016 4:03:59 PM	15.588	4.914531e-013	3/23/2016 4:03:59 PM	15.802	1.887587e-013	3/23/2016 4:03:59 PM	16.020	2.249961e-013	3/23/2016 4:03:59 PM	16.248	5.961277e-013	3/23/2016 4:04:00 PM	16.463	2.110109e-012	3/23/2016 4:04:00 PM	16.684	2.311594e-013	3/23/2016 4:04:00 PM	16.906	5.400661e-013
3/23/2016 4:04:00 PM	17.132	5.106136e-013	3/23/2016 4:04:00 PM	17.356	1.961371e-013	3/23/2016 4:04:01 PM	17.576	2.293448e-013	3/23/2016 4:04:01 PM	17.812	7.390172e-013	3/23/2016 4:04:01 PM	18.027	2.095168e-012	3/23/2016 4:04:01 PM	18.244	2.127830e-013	3/23/2016 4:04:02 PM	18.474	5.808073e-013
3/23/2016 4:04:02 PM	18.695	5.156540e-013	3/23/2016 4:04:02 PM	18.918	2.068577e-013	3/23/2016 4:04:02 PM	19.139	2.337295e-013	3/23/2016 4:04:02 PM	19.363	6.863729e-013	3/23/2016 4:04:03 PM	19.578	2.013930e-012	3/23/2016 4:04:03 PM	19.798	2.419396e-013	3/23/2016 4:04:03 PM	20.018	5.419905e-013
