Sourcefile	20160325 134535 Dosing_12CO_13CO.qmp
Exporttime	3/25/2016 02:07:10.661 PM

Start Time	3/25/2016 01:50:22.070 PM
End Time	3/25/2016 02:06:41.544 PM

		12C			13C			14N			H2O			CO/N2			13CO			CO2	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
3/25/2016 1:50:22 PM	0.000	6.856024e-013	3/25/2016 1:50:22 PM	0.229	4.872802e-014	3/25/2016 1:50:22 PM	0.463	7.081618e-014	3/25/2016 1:50:22 PM	0.689	4.789177e-013	3/25/2016 1:50:22 PM	0.922	1.585911e-012	3/25/2016 1:50:23 PM	1.148	4.109260e-014	3/25/2016 1:50:23 PM	1.372	7.994631e-014
3/25/2016 1:50:23 PM	1.599	4.109318e-013	3/25/2016 1:50:23 PM	1.817	1.152505e-013	3/25/2016 1:50:24 PM	2.039	1.781592e-013	3/25/2016 1:50:24 PM	2.260	4.995389e-013	3/25/2016 1:50:24 PM	2.481	1.646671e-012	3/25/2016 1:50:24 PM	2.700	2.096097e-013	3/25/2016 1:50:24 PM	2.928	2.875324e-013
3/25/2016 1:50:25 PM	3.152	4.251389e-013	3/25/2016 1:50:25 PM	3.376	1.815306e-013	3/25/2016 1:50:25 PM	3.601	1.759748e-013	3/25/2016 1:50:25 PM	3.829	5.680370e-013	3/25/2016 1:50:26 PM	4.050	1.636478e-012	3/25/2016 1:50:26 PM	4.278	2.029800e-013	3/25/2016 1:50:26 PM	4.498	2.672374e-013
3/25/2016 1:50:26 PM	4.726	4.124274e-013	3/25/2016 1:50:27 PM	4.940	1.839294e-013	3/25/2016 1:50:27 PM	5.158	1.846646e-013	3/25/2016 1:50:27 PM	5.381	5.537235e-013	3/25/2016 1:50:27 PM	5.596	1.753420e-012	3/25/2016 1:50:27 PM	5.817	2.209966e-013	3/25/2016 1:50:28 PM	6.042	2.387428e-013
3/25/2016 1:50:28 PM	6.264	4.350715e-013	3/25/2016 1:50:28 PM	6.483	1.690603e-013	3/25/2016 1:50:28 PM	6.707	1.897790e-013	3/25/2016 1:50:28 PM	6.929	5.389879e-013	3/25/2016 1:50:29 PM	7.156	1.698400e-012	3/25/2016 1:50:29 PM	7.375	1.736848e-013	3/25/2016 1:50:29 PM	7.597	2.418410e-013
3/25/2016 1:50:29 PM	7.826	4.347553e-013	3/25/2016 1:50:30 PM	8.041	1.408819e-013	3/25/2016 1:50:30 PM	8.266	2.036247e-013	3/25/2016 1:50:30 PM	8.493	5.437083e-013	3/25/2016 1:50:30 PM	8.708	1.680187e-012	3/25/2016 1:50:31 PM	8.931	1.524425e-013	3/25/2016 1:50:31 PM	9.152	2.553023e-013
3/25/2016 1:50:31 PM	9.378	4.300839e-013	3/25/2016 1:50:31 PM	9.605	1.546233e-013	3/25/2016 1:50:31 PM	9.826	1.858743e-013	3/25/2016 1:50:32 PM	10.048	5.562986e-013	3/25/2016 1:50:32 PM	10.271	1.721814e-012	3/25/2016 1:50:32 PM	10.487	1.984822e-013	3/25/2016 1:50:32 PM	10.706	2.526369e-013
3/25/2016 1:50:32 PM	10.929	3.823748e-013	3/25/2016 1:50:33 PM	11.144	1.526482e-013	3/25/2016 1:50:33 PM	11.358	1.647906e-013	3/25/2016 1:50:33 PM	11.587	5.124813e-013	3/25/2016 1:50:33 PM	11.805	1.712499e-012	3/25/2016 1:50:34 PM	12.033	1.695684e-013	3/25/2016 1:50:34 PM	12.258	2.502216e-013
3/25/2016 1:50:34 PM	12.485	3.719255e-013	3/25/2016 1:50:34 PM	12.700	1.122027e-013	3/25/2016 1:50:34 PM	12.926	1.661415e-013	3/25/2016 1:50:35 PM	13.153	4.578582e-013	3/25/2016 1:50:35 PM	13.378	1.620181e-012	3/25/2016 1:50:35 PM	13.602	1.600863e-013	3/25/2016 1:50:35 PM	13.817	2.495592e-013
3/25/2016 1:50:36 PM	14.038	3.615144e-013	3/25/2016 1:50:36 PM	14.256	1.173006e-013	3/25/2016 1:50:36 PM	14.470	1.657372e-013	3/25/2016 1:50:36 PM	14.708	4.620508e-013	3/25/2016 1:50:37 PM	14.930	1.651613e-012	3/25/2016 1:50:37 PM	15.147	1.684351e-013	3/25/2016 1:50:37 PM	15.373	2.857569e-013
3/25/2016 1:50:37 PM	15.595	3.728320e-013	3/25/2016 1:50:37 PM	15.814	1.496622e-013	3/25/2016 1:50:38 PM	16.031	1.780593e-013	3/25/2016 1:50:38 PM	16.255	5.503984e-013	3/25/2016 1:50:38 PM	16.475	1.698631e-012	3/25/2016 1:50:38 PM	16.702	1.797347e-013	3/25/2016 1:50:38 PM	16.916	2.630891e-013
3/25/2016 1:50:39 PM	17.146	3.672108e-013	3/25/2016 1:50:39 PM	17.369	1.357364e-013	3/25/2016 1:50:39 PM	17.586	1.715701e-013	3/25/2016 1:50:39 PM	17.808	5.106811e-013	3/25/2016 1:50:40 PM	18.022	1.700067e-012	3/25/2016 1:50:40 PM	18.241	1.798988e-013	3/25/2016 1:50:40 PM	18.457	2.194413e-013
3/25/2016 1:50:40 PM	18.681	3.920567e-013	3/25/2016 1:50:40 PM	18.895	1.311679e-013	3/25/2016 1:50:41 PM	19.115	1.691014e-013	3/25/2016 1:50:41 PM	19.341	5.197579e-013	3/25/2016 1:50:41 PM	19.555	1.698610e-012	3/25/2016 1:50:41 PM	19.785	1.334380e-013	3/25/2016 1:50:42 PM	20.008	2.776657e-013
3/25/2016 1:50:42 PM	20.235	3.213407e-013	3/25/2016 1:50:42 PM	20.454	1.387388e-013	3/25/2016 1:50:42 PM	20.669	1.529393e-013	3/25/2016 1:50:42 PM	20.894	5.039662e-013	3/25/2016 1:50:43 PM	21.109	1.642842e-012	3/25/2016 1:50:43 PM	21.332	1.885751e-013	3/25/2016 1:50:43 PM	21.549	2.831108e-013
3/25/2016 1:50:43 PM	21.768	4.095487e-013	3/25/2016 1:50:44 PM	21.984	1.367000e-013	3/25/2016 1:50:44 PM	22.200	1.491328e-013	3/25/2016 1:50:44 PM	22.428	5.636266e-013	3/25/2016 1:50:44 PM	22.642	1.717609e-012	3/25/2016 1:50:44 PM	22.858	1.598847e-013	3/25/2016 1:50:45 PM	23.080	2.819698e-013
3/25/2016 1:50:45 PM	23.310	3.904626e-013	3/25/2016 1:50:45 PM	23.525	1.252999e-013	3/25/2016 1:50:45 PM	23.741	1.656098e-013	3/25/2016 1:50:46 PM	23.959	5.079124e-013	3/25/2016 1:50:46 PM	24.183	1.712780e-012	3/25/2016 1:50:46 PM	24.404	1.653866e-013	3/25/2016 1:50:46 PM	24.623	2.668263e-013
3/25/2016 1:50:46 PM	24.847	3.475267e-013	3/25/2016 1:50:47 PM	25.067	1.371568e-013	3/25/2016 1:50:47 PM	25.287	1.537887e-013	3/25/2016 1:50:47 PM	25.508	4.940777e-013	3/25/2016 1:50:47 PM	25.722	1.648284e-012	3/25/2016 1:50:48 PM	25.937	1.720595e-013	3/25/2016 1:50:48 PM	26.151	2.534062e-013
