0000003272,scans,0000000130,DataLength
"header",0000000040,"lines"
"Date",3/29/2016,"Time",5:49:46 PM
"ID","HAL IDP LOW ENERGY #14936","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",12.00,12.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",13.00,13.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",30.00,30.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",31.00,31.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",44.00,44.00,0.01,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"1st-dynode",-3500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",-25,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",100.0000,"uA"
"energy",1.00,"V"
"extractor",0,"V"
"focus",-50,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",0,"V"
"mass",18.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1900,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",9
"Time","ms","C","13C","14N","H2O","CON2","13CO","C18O","13C18O","CO2",
00:00:00,        71,        630,        240,       1050,      93590,      26420,       4340,       1520,        450,      11830,
00:00:01,      1135,        710,        280,       1260,      95230,      24800,       4930,       1800,        590,      11660,
00:00:02,      2198,        800,        310,       1180,      94810,      25470,       5300,       1590,        400,      11690,
00:00:03,      3261,        770,        260,       1250,      94770,      26620,       5040,       1720,        540,      12430,
00:00:04,      4325,        850,        290,       1200,      93470,      25750,       4710,       1610,        490,      12220,
00:00:05,      5388,        640,        340,       1230,      93580,      26490,       4530,       1610,        400,      11490,
00:00:06,      6451,        800,        370,       1290,      93140,      27800,       4500,       1470,        470,      12740,
00:00:07,      7515,        640,        330,       1010,      92960,      26010,       4730,       1350,        690,      12170,
00:00:08,      8578,        670,        250,       1080,      92140,      26690,       4950,       1970,        490,      11150,
00:00:09,      9641,        580,        330,       1230,      94360,      25570,       4920,       1600,        350,      12590,
00:00:10,     10705,        710,        320,       1180,      94930,      26060,       4510,       1480,        490,      12290,
00:00:11,     11768,        610,        300,        970,      93590,      26270,       4700,       1410,        460,      12610,
00:00:12,     12831,        660,        290,        940,      95230,      25190,       4650,       1560,        360,      12140,
00:00:13,     13895,        550,        320,       1140,      93620,      25870,       4530,       1610,        490,      12450,
00:00:14,     14958,        710,        340,       1380,      94100,      25610,       4880,       1480,        430,      11320,
00:00:16,     16021,        850,        360,       1260,      94660,      27190,       5350,       1410,        370,      12030,
00:00:17,     17085,        580,        260,        880,      95760,      27180,       4630,       1520,        430,      12440,
00:00:18,     18148,        590,        270,       1210,      96640,      25750,       4790,       1780,        480,      11750,
00:00:19,     19211,        510,        310,       1050,      95110,      25670,       5320,       1730,        570,      11950,
00:00:20,     20275,        500,        390,       1300,      91580,      26540,       4490,       1850,        600,      11740,
00:00:21,     21338,        520,        250,       1230,      92920,      25870,       5080,       1740,        400,      12630,
00:00:22,     22401,        590,        200,        970,      93920,      25320,       4910,       1640,        550,      12020,
00:00:23,     23465,        650,        130,       1000,      93230,      25410,       4680,       1460,        610,      11820,
00:00:24,     24528,        730,        220,       1140,      91540,      25570,       5070,       1250,        470,      11920,
00:00:25,     25591,        580,        290,       1160,      93890,      26460,       4450,       1530,        380,      12130,
00:00:26,     26655,        520,        260,       1270,      94820,      26120,       4640,       1780,        420,      12050,
00:00:27,     27718,        530,        290,       1170,      96270,      26120,       4890,       1490,        440,      11680,
00:00:28,     28781,        620,        240,       1080,      94930,      26990,       4790,       1550,        490,      12010,
00:00:29,     29845,        560,        320,       1150,      92800,      25440,       4990,       1520,        300,      12220,
00:00:30,     30908,        770,        240,       1170,      95490,      26360,       4860,       1790,        420,      12050,
00:00:31,     31971,        530,        260,       1310,      93820,      26720,       4480,       1540,        390,      12150,
00:00:33,     33035,        520,        340,       1400,      96740,      26650,       4700,       1640,        400,      12570,
00:00:34,     34098,        590,        450,       1230,      95020,      25460,       4810,       1650,        620,      12120,
00:00:35,     35161,        820,        280,       1330,      89850,      26940,       4910,       1650,        570,      11860,
00:00:36,     36225,        610,        250,       1360,      97550,      26170,       4540,       1550,        630,      12690,
00:00:37,     37288,        730,        240,       1200,      96090,      26820,       4610,       1860,        450,      11920,
00:00:38,     38351,        760,        320,       1070,      95480,      26570,       4710,       1450,        520,      12160,
00:00:39,     39415,        730,        270,       1520,      90670,      24660,       4790,       1660,        360,      11400,
00:00:40,     40478,        460,        260,       1200,      93990,      26190,       4790,       1440,        380,      12890,
00:00:41,     41541,        800,        360,       1240,      94910,      26020,       4940,       1410,        380,      11470,
00:00:42,     42605,        600,        270,       1330,      94590,      25210,       5050,       1490,        600,      12070,
00:00:43,     43668,        610,        190,       1120,      93650,      25700,       4570,       1400,        360,      11210,
00:00:44,     44731,        590,        300,       1350,      95970,      26230,       4640,       1760,        430,      12280,
00:00:45,     45795,        700,        210,       1120,      96100,      25920,       4990,       1720,        440,      12660,
00:00:46,     46858,        680,        360,       1170,      94620,      25480,       4880,       1600,        630,      12310,
00:00:47,     47921,        540,        240,       1320,      96210,      26430,       4500,       1590,        450,      11420,
00:00:48,     48985,        650,        340,       1110,      95520,      26660,       4760,       1560,        390,      11850,
00:00:50,     50048,        490,        370,       1240,      92620,      24300,       4660,       1570,        610,      11810,
00:00:51,     51111,        640,        340,       1120,      93540,      26630,       4690,       1500,        360,      11830,
00:00:52,     52175,        670,        450,       1210,      95990,      26350,       4810,       1800,        610,      12790,
00:00:53,     53238,        390,        250,       1350,      97230,      25920,       4040,       1430,        360,      12250,
00:00:54,     54301,        720,        390,       1020,      93850,      26350,       4640,       1560,        500,      12750,
00:00:55,     55365,        570,        270,       1270,      96410,      26550,       4790,       1740,        440,      12320,
00:00:56,     56428,        600,        310,       1370,      93790,      26020,       4940,       1510,        510,      11940,
00:00:57,     57491,        690,        350,       1290,      95200,      27180,       4530,       1920,        410,      12960,
00:00:58,     58555,        810,        360,       1060,      92020,      25720,       4550,       1890,        400,      12300,
00:00:59,     59618,        780,        420,       1340,      95280,      26180,       4860,       1640,        430,      12330,
00:01:00,     60681,        670,        360,       1360,      94170,      25980,       4920,       1570,        500,      12010,
00:01:01,     61745,        650,        310,       1390,      94580,      26020,       4570,       1900,        210,      11810,
00:01:02,     62808,        680,        360,       1250,      95530,      26400,       4170,       1670,        530,      11820,
00:01:03,     63871,        620,        310,        960,      95290,      26480,       5100,       1580,        480,      11890,
00:01:04,     64935,        760,        340,       1050,      96610,      25260,       5010,       1720,        490,      11700,
00:01:05,     65998,        600,        140,       1110,      96480,      24870,       4600,       1570,        500,      11890,
00:01:07,     67061,        540,        340,       1210,      94350,      26520,       4430,       1600,        480,      11750,
00:01:08,     68125,        760,        260,       1060,      94650,      26800,       5130,       1660,        400,      12050,
00:01:09,     69188,        730,        250,       1180,      93270,      26480,       4550,       1670,        490,      10790,
00:01:10,     70251,        600,        400,       1020,      95440,      26870,       4820,       1310,        330,      12300,
00:01:11,     71315,        640,        390,       1250,      96210,      26810,       4790,       1750,        550,      11990,
00:01:12,     72378,        650,        330,        980,      97330,      26670,       5240,       1710,        330,      11810,
00:01:13,     73441,        510,        360,       1290,      94860,      25870,       4880,       1670,        410,      11900,
00:01:14,     74505,        670,        300,       1270,      93540,      25750,       4480,       1450,        460,      11060,
00:01:15,     75568,        670,        360,       1240,      93280,      26410,       4930,       1350,        590,      11710,
00:01:16,     76631,        510,        360,       1480,      95910,      26630,       4790,       1810,        520,      11860,
00:01:17,     77695,        640,        290,       1100,      92440,      26810,       5120,       1540,        520,      11870,
00:01:18,     78758,        850,        260,       1070,      94770,      25040,       4520,       1320,        360,      11760,
