0000004676,scans,0000000130,DataLength
"header",0000000040,"lines"
"Date",4/7/2016,"Time",2:17:49 PM
"ID","HAL IDP LOW ENERGY #14936","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",12.00,12.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",13.00,13.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 3","RGA","SEM","mass",16.00,16.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",30.00,30.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",31.00,31.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",44.00,44.00,0.01,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"1st-dynode",-3500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",-25,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",100.0000,"uA"
"energy",1.00,"V"
"extractor",0,"V"
"focus",-50,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",0,"V"
"mass",18.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1900,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",9
"Time","ms","12C","13C","16O","18O","CO/N2","13CO","C18O","13C18O","CO2",
00:00:00,        71,       1750,        810,      20430,     818830,      60770,      10660,      10470,       7320,      27990,
00:00:01,      1134,       1480,        630,      21160,     808710,      61270,      10600,       9440,       7620,      28310,
00:00:02,      2197,       1140,        710,      19550,     793420,      60890,      10280,       9520,       7710,      28690,
00:00:03,      3261,       1540,       1000,      18620,     788030,      59740,       9390,       9460,       7620,      28210,
00:00:04,      4324,       1160,        780,      19040,     768800,      60220,      10040,       9270,       7230,      26280,
00:00:05,      5387,       1370,        680,      19770,     752130,      58610,       9840,       8920,       6840,      28310,
00:00:06,      6451,       1080,        850,      19530,     738120,      60750,       9350,       9200,       7020,      26850,
00:00:07,      7514,       1130,        840,      18940,     724150,      58020,       9230,       8340,       6500,      26140,
00:00:08,      8577,       1210,        810,      17620,     717550,      58730,       9330,       8360,       7050,      25130,
00:00:09,      9641,       1020,        640,      17110,     705100,      57400,       9780,       8130,       6440,      26310,
00:00:10,     10704,       1360,        820,      17910,     693100,      58100,       9080,       8130,       6580,      24660,
00:00:11,     11767,       1140,        650,      17340,     685890,      56180,       9260,       8280,       6640,      24420,
00:00:12,     12831,       1190,        880,      16670,     674550,      56730,       8650,       7320,       6570,      23790,
00:00:13,     13894,       1390,        530,      15300,     663530,      55100,       8510,       7130,       5620,      24170,
00:00:14,     14957,        980,        700,      16700,     651720,      57390,       8390,       6800,       6400,      24850,
00:00:16,     16021,       1160,        920,      16810,     645750,      55450,       8360,       7250,       5280,      24950,
00:00:17,     17084,       1110,        790,      16590,     623660,      55910,       8630,       7140,       5260,      23010,
00:00:18,     18147,       1350,        590,      15920,     620520,      54040,       8230,       7190,       5600,      24830,
00:00:19,     19211,        990,        700,      15630,     609440,      55060,       8510,       6760,       5580,      23510,
00:00:20,     20274,       1040,        760,      17000,     606800,      53800,       8420,       6330,       5350,      23400,
00:00:21,     21337,        830,        660,      15680,     589460,      54630,       8690,       6900,       5990,      22530,
00:00:22,     22401,       1520,       1010,      15620,     584610,      53460,       8190,       7150,       5380,      23210,
00:00:23,     23464,       1500,       1040,      15800,     581920,      52960,       8240,       7070,       5670,      22400,
00:00:24,     24527,       1080,        990,      15810,     568260,      51370,       8350,       6670,       5650,      23100,
00:00:25,     25591,       1690,       1130,      15510,     561500,      52920,       8030,       6680,       6270,      22690,
00:00:26,     26654,       1720,       1340,      15410,     549620,      51610,       8770,       6930,       6170,      23070,
00:00:27,     27717,       1750,       1410,      15180,     545210,      52090,       8780,       6640,       5980,      22710,
00:00:28,     28781,       1790,       1040,      14240,     536990,      50890,       7540,       6350,       5340,      21180,
00:00:29,     29844,       1690,       1120,      14310,     530300,      51180,       8300,       6010,       5120,      21100,
00:00:30,     30907,       1370,        820,      15070,     525170,      50220,       7710,       6460,       5110,      20290,
00:00:31,     31971,       1500,       1050,      14150,     512900,      49870,       7180,       5340,       4840,      20830,
00:00:33,     33034,       1540,        830,      14160,     506790,      51260,       6890,       5410,       4890,      20840,
00:00:34,     34097,       1180,        950,      14300,     497340,      50010,       6740,       5790,       4540,      21710,
00:00:35,     35161,       1240,        780,      14600,     492060,      49600,       7020,       5790,       4860,      20780,
00:00:36,     36224,       1090,        530,      13930,     485140,      48930,       6520,       5260,       4560,      20340,
00:00:37,     37287,       1240,        700,      13700,     479760,      50760,       7230,       5270,       4290,      19290,
00:00:38,     38351,       1230,        690,      13300,     477000,      49090,       6590,       5110,       4070,      20260,
00:00:39,     39414,       1000,        680,      13470,     468990,      49720,       6890,       5380,       4420,      19880,
00:00:40,     40477,       1440,        840,      12950,     462150,      49870,       6760,       4840,       3830,      20000,
00:00:41,     41541,       1330,        760,      13440,     459090,      48630,       7090,       5430,       4400,      19470,
00:00:42,     42604,       1320,        750,      12760,     452990,      48950,       5780,       4770,       4360,      19650,
00:00:43,     43667,       1170,        870,      13170,     447300,      48960,       6850,       4870,       3810,      19380,
00:00:44,     44731,       1110,        630,      13000,     437430,      46800,       6360,       4520,       3630,      18470,
00:00:45,     45794,        990,        480,      12830,     433380,      47520,       6290,       4960,       3620,      18700,
00:00:46,     46857,       1120,        570,      11880,     429750,      46430,       5990,       4100,       3850,      18480,
00:00:47,     47921,        830,        470,      12390,     426500,      48520,       6240,       4620,       3650,      19490,
00:00:48,     48984,        920,        680,      11890,     421740,      47670,       6100,       4460,       3780,      17570,
00:00:50,     50047,        870,        630,      11810,     413680,      47700,       6170,       4140,       3660,      18330,
00:00:51,     51111,       1020,        480,      11270,     410510,      47180,       5930,       4330,       3210,      18690,
00:00:52,     52174,        970,        420,      10880,     407500,      47410,       5900,       4010,       3040,      18940,
00:00:53,     53237,        720,        600,      12350,     401560,      46330,       5930,       4020,       3240,      16910,
00:00:54,     54301,       1140,        440,      12330,     395940,      46690,       5540,       4240,       3150,      18420,
00:00:55,     55364,        900,        350,      11190,     393070,      45870,       5360,       4350,       2860,      17790,
00:00:56,     56427,       1140,        360,      11340,     389240,      46720,       6000,       3970,       2730,      18380,
00:00:57,     57491,        870,        610,      10550,     386960,      46590,       5940,       4540,       3420,      18120,
00:00:58,     58554,        990,        480,      10440,     381530,      46250,       5560,       3930,       3380,      18200,
00:00:59,     59617,        870,        540,      11310,     378860,      47510,       5250,       4150,       2980,      17170,
00:01:00,     60681,        640,        280,      11310,     372050,      43520,       5120,       3750,       2920,      18640,
00:01:01,     61744,       1080,        360,      10990,     364590,      45400,       4730,       3930,       2970,      18660,
00:01:02,     62807,        800,        590,      11590,     363380,      46810,       5340,       3900,       3070,      17270,
00:01:03,     63871,        830,        520,      10720,     362220,      45030,       5690,       3560,       3070,      17100,
00:01:04,     64934,        800,        510,      10970,     357140,      45840,       5210,       3650,       3040,      16360,
00:01:05,     65997,        630,        520,      10400,     356860,      46110,       5670,       3610,       2970,      17020,
00:01:07,     67061,       1010,        400,      10630,     354540,      42750,       4530,       3150,       2940,      16870,
00:01:08,     68124,        850,        630,      10670,     346440,      45180,       5490,       3830,       3380,      17230,
00:01:09,     69187,        850,        580,      10310,     346300,      43990,       4980,       3940,       2830,      16540,
00:01:10,     70251,        890,        540,      10060,     340580,      43960,       5010,       3820,       2780,      16850,
00:01:11,     71314,        880,        360,      10210,     339600,      45380,       5010,       3520,       2600,      16060,
00:01:12,     72377,        850,        350,      10100,     337390,      43650,       5380,       3900,       2590,      16490,
00:01:13,     73441,        820,        380,      10070,     334390,      43410,       5080,       3750,       2660,      15600,
00:01:14,     74504,        870,        260,       9600,     327220,      44600,       5020,       2960,       2670,      16130,
00:01:15,     75567,       1010,        350,       9900,     325440,      43150,       5270,       3640,       2600,      16520,
