0000003127,scans,0000000130,DataLength
"header",0000000040,"lines"
"Date",3/25/2016,"Time",2:13:59 PM
"ID","HAL IDP LOW ENERGY #14936","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",12.00,12.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",13.00,13.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",30.00,30.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",31.00,31.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",44.00,44.00,0.01,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"1st-dynode",-3500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",-25,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",100.0000,"uA"
"energy",1.00,"V"
"extractor",0,"V"
"focus",-50,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",0,"V"
"mass",18.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1900,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",9
"Time","ms","C","13C","14N","H2O","CON2","13CO","C18O","13C18O","CO2",
00:00:00,        71,        450,        330,        770,     211260,      25870,       3130,       1880,        170,       9760,
00:00:01,      1135,        780,        320,        830,     215310,      26010,       3540,       2030,        180,       8950,
00:00:02,      2198,        500,        310,        870,     212220,      26430,       3590,       2230,        180,       9220,
00:00:03,      3261,        390,        340,        870,     211220,      26530,       3210,       1940,        120,       9610,
00:00:04,      4325,        440,        250,        810,     208480,      26590,       3330,       1760,        150,       8910,
00:00:05,      5388,        470,        200,        910,     207270,      27640,       3430,       2070,        350,       9240,
00:00:06,      6451,        670,        290,        920,     207360,      26710,       3350,       1880,        290,       9170,
00:00:07,      7515,        580,        310,        650,     207670,      26360,       3090,       1830,        330,       8940,
00:00:08,      8578,        370,        440,        880,     204640,      26170,       2920,       1830,        270,       9220,
00:00:09,      9641,        370,        190,        710,     202740,      25460,       3090,       1780,        200,       8620,
00:00:10,     10705,        650,        220,       1050,     200400,      25090,       3180,       1660,        110,      10020,
00:00:11,     11768,        490,        380,       1000,     200620,      25970,       3140,       2030,        210,       9220,
00:00:12,     12831,        360,        200,        960,     197570,      25330,       3190,       1910,        160,       9170,
00:00:13,     13895,        590,        190,        770,     201110,      25900,       3030,       1920,        200,       8960,
00:00:14,     14958,        490,        250,       1010,     199850,      26900,       3280,       2040,        280,       8490,
00:00:16,     16021,        360,        240,        850,     197930,      25730,       3120,       1960,        370,       9030,
00:00:17,     17085,        480,        240,        760,     196730,      25110,       3190,       1950,        220,       8640,
00:00:18,     18148,        580,        260,        820,     197290,      25660,       3320,       1740,        210,       8400,
00:00:19,     19211,        500,        140,        990,     196090,      24790,       3000,       2160,        310,       9510,
00:00:20,     20275,        550,        350,        800,     195210,      25030,       3020,       2070,        220,       8660,
00:00:21,     21338,        630,        290,        780,     191060,      25830,       3310,       1640,        280,       9530,
00:00:22,     22401,        660,        320,        840,     190840,      25300,       2890,       1990,        210,       8400,
00:00:23,     23465,        460,        410,        760,     195040,      24700,       3290,       1790,        270,       8490,
00:00:24,     24528,        540,        330,        910,     190570,      26220,       2950,       2310,        170,       8770,
00:00:25,     25591,        520,        230,        840,     187030,      26550,       3130,       1550,        160,       9110,
00:00:26,     26655,        440,        370,        780,     187850,      26980,       3090,       2010,        300,       8370,
00:00:27,     27718,        450,        220,        890,     188070,      25480,       2970,       1840,         80,       8720,
00:00:28,     28781,        560,        220,        870,     185160,      25740,       3080,       1940,        250,       8210,
00:00:29,     29845,        570,        290,        670,     183550,      25810,       3000,       1580,        180,       8030,
00:00:30,     30908,        590,        250,        920,     186740,      24990,       2650,       2130,        230,       8630,
00:00:31,     31971,        510,        270,        750,     185690,      24730,       2740,       1680,        190,       8930,
00:00:33,     33035,        530,        170,        850,     184910,      25080,       2710,       1600,        210,       8760,
00:00:34,     34098,        630,        180,        970,     184690,      25450,       2840,       1670,        120,       9060,
00:00:35,     35161,        450,        290,        880,     180020,      25660,       2730,       1710,        290,       8790,
00:00:36,     36225,        610,        210,        720,     181190,      24680,       3090,       1550,        240,       9010,
00:00:37,     37288,        620,        210,        810,     178510,      25770,       2630,       1520,        250,       8720,
00:00:38,     38351,        420,        290,        850,     178300,      24460,       3160,       1520,        270,       8960,
00:00:39,     39415,        520,        170,        760,     175300,      25970,       2670,       1960,        220,       8990,
00:00:40,     40478,        360,        180,        910,     178070,      24480,       2970,       1430,        180,       8880,
00:00:41,     41541,        460,        160,        810,     178030,      25930,       3130,       2020,        210,       8630,
00:00:42,     42605,        520,        260,        960,     180250,      25690,       2890,       1680,        160,       8700,
00:00:43,     43668,        400,        190,        830,     178610,      25560,       3360,       2020,        250,       9100,
00:00:44,     44731,        660,        220,        840,     178270,      24680,       3060,       1610,        150,       9110,
00:00:45,     45795,        410,        250,        590,     174970,      24780,       2870,       2020,        110,       8830,
00:00:46,     46858,        530,        270,        880,     173230,      24360,       2980,       1580,        270,       9110,
00:00:47,     47921,        330,        220,        810,     173760,      24800,       3220,       1600,        260,       8420,
00:00:48,     48985,        380,        260,        750,     175690,      24570,       3160,       1770,        210,       8370,
00:00:50,     50048,        520,        200,        810,     172120,      25360,       3320,       1790,        230,       8930,
00:00:51,     51111,        460,        240,        860,     174290,      24340,       3090,       1820,        220,       8420,
00:00:52,     52175,        470,        250,        750,     170620,      25050,       2910,       1850,        140,       8940,
00:00:53,     53238,        540,        160,        790,     172440,      24260,       3120,       1600,        200,       8270,
00:00:54,     54301,        350,        230,        660,     174850,      23800,       2920,       1550,        340,       8150,
00:00:55,     55365,        480,        230,        640,     170360,      24530,       2850,       1650,        180,       8360,
00:00:56,     56428,        610,        130,        900,     168390,      23890,       2730,       1130,        280,       8340,
00:00:57,     57491,        510,        230,        750,     171600,      24860,       2440,       1630,        200,       8950,
00:00:58,     58555,        550,        240,        750,     166080,      24680,       2880,       1990,        140,       8770,
00:00:59,     59618,        400,        330,        810,     168990,      25770,       3130,       1470,        130,       8900,
00:01:00,     60681,        350,        250,        800,     168090,      24110,       2960,       2230,        200,       8070,
00:01:01,     61745,        460,        170,        560,     169280,      24630,       2600,       1750,        160,       8490,
00:01:02,     62808,        340,        170,       1020,     163340,      23460,       2750,       1650,        230,       8120,
00:01:03,     63871,        380,        190,        640,     167860,      24130,       2530,       1540,        190,       8390,
00:01:04,     64935,        580,        150,        770,     165000,      24430,       3050,       1640,        160,       8700,
00:01:05,     65998,        440,        290,        670,     162380,      23390,       2750,       1860,        260,       8440,
00:01:07,     67061,        450,        200,       1100,     164630,      23370,       2520,       1870,        220,       7970,
00:01:08,     68125,        360,        180,        840,     163380,      22860,       2980,       1610,        220,       8470,
00:01:09,     69188,        630,        330,        800,     162620,      23740,       2720,       2120,        210,       8650,
00:01:10,     70251,        530,        190,        830,     164040,      24480,       2920,       1700,         90,       8010,
00:01:11,     71315,        520,        280,        670,     164310,      23750,       3400,       1670,        190,       8090,
00:01:12,     72378,        580,        220,        840,     161700,      24880,       2810,       1960,        100,       8010,
00:01:13,     73441,        630,        250,        810,     161430,      23960,       2700,       2030,        110,       8190,
00:01:14,     74505,        500,        150,        940,     161060,      24500,       2780,       1770,        160,       8340,
00:01:15,     75568,        380,        180,        790,     159260,      23860,       2990,       1390,        160,       8210,
00:01:16,     76631,        420,        280,        710,     157120,      23980,       2540,       1800,        190,       8600,
00:01:17,     77695,        390,        180,        670,     158700,      23680,       3000,       1560,        240,       8440,
00:01:18,     78758,        270,        150,        830,     158060,      24310,       3040,       1590,        140,       8190,
00:01:19,     79821,        320,        290,        760,     157490,      24410,       2460,       1530,        140,       8320,
