0000003826,scans,0000000130,DataLength
"header",0000000040,"lines"
"Date",4/7/2016,"Time",4:13:00 PM
"ID","HAL IDP LOW ENERGY #14936","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",12.00,12.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",13.00,13.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 3","RGA","SEM","mass",16.00,16.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",30.00,30.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",31.00,31.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",44.00,44.00,0.01,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"1st-dynode",-3500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",-25,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",100.0000,"uA"
"energy",1.00,"V"
"extractor",0,"V"
"focus",-50,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",0,"V"
"mass",18.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1900,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",9
"Time","ms","12C","13C","16O","18O","CO/N2","13CO","C18O","13C18O","CO2",
00:00:00,        71,       8300,       8370,      11020,     107080,      31820,      11190,       8910,       8870,      19030,
00:00:01,      1134,       8780,       8410,      10860,     107490,      31030,      10800,       8930,       7700,      20370,
00:00:02,      2198,       8170,       8480,      10640,     105500,      30790,      10910,       8650,       8540,      19500,
00:00:03,      3261,       8460,       7220,      10590,     106570,      31380,      10920,       9000,       7550,      20070,
00:00:04,      4324,       8350,       7860,      10760,     107450,      32350,      10940,       8230,       8270,      19200,
00:00:05,      5388,       8170,       7550,      10880,     105700,      32100,      11310,       9390,       8300,      19570,
00:00:06,      6451,       8520,       8170,      10600,     105190,      31280,      10760,       8130,       8220,      18970,
00:00:07,      7514,       8180,       7850,      10760,     108260,      31180,      11190,       9030,       8290,      19160,
00:00:08,      8578,       8500,       7980,      10970,     108330,      31220,      10710,       9330,       8290,      19230,
00:00:09,      9641,       8580,       8660,      10580,     108090,      32760,      10910,       8600,       8390,      18630,
00:00:10,     10704,       8070,       8010,      10220,     107770,      32180,      11340,       9320,       7960,      18780,
00:00:11,     11768,       8390,       8330,      11980,     109010,      31450,      10960,       9000,       8750,      19360,
00:00:12,     12831,       8560,       7300,      10360,     106160,      31530,       9860,       8620,       8420,      18870,
00:00:13,     13894,       7940,       7750,      10260,     106300,      30970,      10670,       9230,       8000,      19100,
00:00:14,     14958,       8510,       7750,      10620,     107130,      30970,      10790,       8760,       7790,      19060,
00:00:16,     16021,       8090,       8150,       9590,     107190,      30230,      10900,       8880,       8090,      18700,
00:00:17,     17084,       8520,       7940,      10960,     107660,      30750,      11140,       8700,       8200,      19690,
00:00:18,     18148,       8850,       7990,      10250,     107440,      31710,      10200,       8690,       8000,      19640,
00:00:19,     19211,       7500,       8020,      11560,     108770,      31440,      10670,       8680,       8430,      19760,
00:00:20,     20274,       7950,       8130,      10980,     105650,      31300,      10830,       8940,       8000,      19020,
00:00:21,     21338,       8340,       8170,      10760,     105780,      32160,      10500,       8700,       7710,      18810,
00:00:22,     22401,       8150,       8360,      11400,     107450,      32410,      10440,       8960,       8170,      18850,
00:00:23,     23464,       7900,       7360,      10970,     104520,      30720,      10870,       9190,       8230,      19770,
00:00:24,     24528,       8360,       7710,      11290,     107490,      31930,      10900,       9360,       8090,      19730,
00:00:25,     25591,       8210,       8110,      10980,     105170,      31850,      11260,       8670,       8270,      18520,
00:00:26,     26654,       8350,       7580,      10360,     108660,      31500,      10820,       8410,       7880,      19380,
00:00:27,     27718,       8110,       8030,      10820,     105400,      31750,      10660,       8640,       8260,      18180,
00:00:28,     28781,       8050,       8100,      10750,     105710,      31800,      11090,       8800,       7620,      18790,
00:00:29,     29844,       8400,       7870,      10530,     108710,      31640,      10690,       8950,       7840,      19960,
00:00:30,     30908,       7890,       7660,      11160,     107100,      32620,      10790,       9400,       8180,      18920,
00:00:31,     31971,       7830,       7630,      10850,     106160,      32040,      11300,       8890,       8160,      19080,
00:00:33,     33034,       8300,       7730,      10830,     109620,      33700,      11230,       8800,       8250,      18670,
00:00:34,     34098,       8080,       8060,      11140,     105750,      32310,      10880,       9010,       8400,      17810,
00:00:35,     35161,       7670,       7990,      11400,     108390,      32590,      10610,       9140,       7740,      19490,
00:00:36,     36224,       8510,       8090,      10670,     109840,      31950,      11340,       8200,       7730,      19340,
00:00:37,     37288,       8280,       7990,      10100,     107540,      31000,      10620,       8180,       8300,      19030,
00:00:38,     38351,       8490,       8100,      11470,     105300,      31420,      11030,       9270,       7970,      18750,
00:00:39,     39414,       7880,       8020,      11470,     104050,      32180,      10940,       9090,       8190,      19410,
00:00:40,     40478,       8380,       8130,      11280,     106820,      32830,      10250,       8720,       8020,      18380,
00:00:41,     41541,       8860,       8130,      11230,     108990,      30400,      10870,       9150,       7960,      18580,
00:00:42,     42604,       7880,       7800,      10590,     108530,      32130,      11120,       8610,       8130,      18320,
00:00:43,     43668,       8140,       7760,      10840,     107150,      31110,      10930,       9040,       8000,      19140,
00:00:44,     44731,       8350,       8360,      10840,     108680,      31900,      10610,       8780,       8500,      18880,
00:00:45,     45794,       8160,       7520,      10530,     104850,      32390,      10540,       8710,       8050,      19150,
00:00:46,     46858,       8420,       7790,      11070,     107210,      31380,      11160,       8390,       8260,      20040,
00:00:47,     47921,       8220,       8050,      10450,     106340,      31400,      10840,       8970,       8410,      18100,
00:00:48,     48984,       8270,       7740,      10430,     108450,      32990,      10360,       8540,       7780,      20080,
00:00:50,     50048,       8480,       7560,      11260,     108590,      30940,      10530,       8740,       8170,      19290,
00:00:51,     51111,       8190,       7950,      10510,     106950,      31010,      10960,       8260,       7980,      18800,
00:00:52,     52174,       8470,       7990,      10580,     105970,      30550,      10850,       8580,       8200,      17940,
00:00:53,     53238,       8020,       7730,      10920,     105210,      31510,      10660,       9240,       8110,      19600,
00:00:54,     54301,       8010,       7930,      10710,     106380,      32020,      10500,       8750,       8230,      19130,
00:00:55,     55364,       7730,       8010,      11030,     106810,      30970,      10590,       8880,       8130,      18820,
00:00:56,     56428,       8240,       8160,      10260,     107230,      31230,      11080,       9300,       7700,      19510,
00:00:57,     57491,       7670,       7860,      10290,     107780,      31520,      10770,       8640,       7950,      18680,
00:00:58,     58554,       7600,       7590,      10450,     108500,      30810,      11000,       8520,       7520,      19120,
00:00:59,     59618,       8170,       7640,      11070,     107160,      32030,      10300,       8410,       7500,      19800,
00:01:00,     60681,       7890,       7460,      11300,     106410,      32860,      10470,       8310,       7920,      18220,
00:01:01,     61744,       7660,       7960,      10070,     108970,      30860,      11050,       8480,       8200,      18660,
00:01:02,     62808,       8610,       7500,      10420,     106180,      30250,      10650,       8150,       7580,      18310,
00:01:03,     63871,       7890,       7590,      10900,     106230,      30990,      10900,       7930,       7800,      19410,
00:01:04,     64934,       7460,       8090,      11190,     108650,      32750,      10930,       8670,       8460,      19790,
00:01:05,     65998,       8030,       7420,      10360,     108430,      32560,      10490,       8580,       8290,      18940,
00:01:07,     67061,       8140,       8000,      10910,     107100,      31450,      10910,       9050,       7300,      19480,
00:01:08,     68124,       7800,       7600,      10520,     105910,      30880,       9980,       8530,       8170,      19360,
00:01:09,     69188,       8020,       7540,      11060,     108280,      30950,      10790,       8730,       8270,      18880,
00:01:10,     70251,       8190,       7450,      10140,     110090,      31020,      10660,       8060,       8200,      19580,
00:01:11,     71314,       7840,       7620,      10900,     107500,      31500,      10550,       8550,       7930,      19930,
00:01:12,     72378,       8060,       7170,      10600,     105280,      32610,      10400,       9440,       7770,      18400,
00:01:13,     73441,       7550,       7910,      10690,     105810,      30200,      10720,       8210,       7850,      19830,
