0000003225,scans,0000000130,DataLength
"header",0000000040,"lines"
"Date",3/29/2016,"Time",4:03:14 PM
"ID","HAL IDP LOW ENERGY #14936","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",12.00,12.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",13.00,13.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",30.00,30.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",31.00,31.00,0.01,100.000,100.000%,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",44.00,44.00,0.01,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"1st-dynode",-3500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",-25,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",100.0000,"uA"
"energy",1.00,"V"
"extractor",0,"V"
"focus",-50,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",0,"V"
"mass",18.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1900,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",9
"Time","ms","C","13C","14N","H2O","CON2","13CO","C18O","13C18O","CO2",
00:00:00,        71,        720,        630,       2240,     339660,      42800,       7120,       5820,       6140,      15260,
00:00:01,      1134,        750,        620,       2120,     330630,      42320,       7460,       5310,       5620,      16770,
00:00:02,      2198,        980,        670,       2090,     332310,      43200,       7370,       5600,       5400,      14500,
00:00:03,      3261,        650,        650,       2620,     326440,      40580,       7730,       4980,       5300,      16040,
00:00:04,      4324,        780,        510,       2040,     322450,      42820,       7080,       5000,       4760,      16040,
00:00:05,      5388,        740,        560,       2180,     322630,      42010,       7150,       5310,       5290,      15450,
00:00:06,      6451,        600,        520,       2080,     315110,      41840,       7320,       4980,       5180,      15350,
00:00:07,      7514,        880,        530,       2360,     315980,      42090,       6640,       5190,       4890,      15440,
00:00:08,      8578,        850,        410,       2240,     313750,      42180,       6920,       5560,       4940,      15790,
00:00:09,      9641,        800,        660,       2540,     309990,      40780,       6710,       4880,       5130,      14800,
00:00:10,     10704,        860,        490,       2390,     307930,      41110,       7250,       5020,       5210,      15000,
00:00:11,     11768,        800,        500,       2010,     303170,      40850,       6910,       4920,       5250,      15240,
00:00:12,     12831,        980,        530,       2200,     302470,      40110,       7010,       5280,       4410,      14960,
00:00:13,     13894,        980,        580,       2170,     301600,      40600,       6990,       4740,       4300,      14680,
00:00:14,     14958,        930,        620,       1910,     300040,      41100,       6880,       4730,       4650,      15460,
00:00:16,     16021,        910,        570,       2380,     295770,      40030,       6800,       4450,       4970,      15960,
00:00:17,     17084,        850,        510,       1760,     291820,      39730,       6870,       4700,       4590,      14930,
00:00:18,     18148,        800,        620,       2050,     290590,      41600,       6590,       4380,       4960,      14250,
00:00:19,     19211,        790,        480,       2060,     286690,      38300,       6740,       5000,       4860,      14090,
00:00:20,     20274,        820,        550,       2080,     290080,      39350,       6370,       4500,       4990,      14240,
00:00:21,     21338,        780,        440,       2010,     289980,      38180,       6840,       4710,       4380,      14340,
00:00:22,     22401,        850,        480,       2080,     284680,      39060,       6260,       4880,       4640,      13740,
00:00:23,     23464,        840,        640,       1660,     274120,      39360,       6140,       4020,       4420,      14340,
00:00:24,     24528,        680,        470,       2160,     286040,      39260,       6180,       4300,       4130,      15210,
00:00:25,     25591,        690,        610,       1810,     270050,      39160,       6140,       4190,       4370,      14510,
00:00:26,     26654,        830,        740,       2030,     274630,      39160,       6490,       4130,       3890,      13720,
00:00:27,     27718,        960,        600,       2090,     274420,      38560,       6460,       4350,       3950,      13630,
00:00:28,     28781,        960,        630,       1870,     275260,      39430,       6060,       4300,       4380,      14380,
00:00:29,     29844,        800,        640,       1700,     270370,      37310,       6160,       4670,       4250,      13730,
00:00:30,     30908,        720,        520,       1850,     267820,      39020,       5920,       4340,       3900,      13810,
00:00:31,     31971,        710,        490,       1840,     268870,      38590,       6050,       4490,       4340,      13910,
00:00:33,     33034,        800,        410,       1880,     263390,      39420,       6450,       4540,       4620,      14540,
00:00:34,     34098,        890,        410,       1870,     262360,      38280,       6140,       4180,       4210,      13910,
00:00:35,     35161,        750,        430,       1720,     265540,      39010,       6460,       4470,       4130,      13780,
00:00:36,     36224,        820,        460,       2060,     260150,      38140,       6060,       4030,       3630,      14060,
00:00:37,     37288,        690,        470,       1770,     256610,      38090,       6040,       4030,       4010,      14200,
00:00:38,     38351,        660,        530,       1610,     256290,      39160,       5740,       4210,       3620,      13480,
00:00:39,     39414,        850,        540,       1280,     255330,      38530,       5910,       3990,       3840,      13970,
00:00:40,     40478,        750,        430,       1750,     255430,      38620,       5600,       4650,       3300,      12580,
00:00:41,     41541,        820,        550,       1730,     249740,      38090,       6340,       4230,       3430,      13590,
00:00:42,     42604,        560,        400,       1960,     249240,      37400,       5970,       3970,       3430,      13130,
00:00:43,     43668,        680,        510,       1870,     247290,      38920,       5660,       4290,       3720,      12820,
00:00:44,     44731,        610,        460,       1690,     244000,      37420,       5740,       3770,       3580,      13140,
00:00:45,     45794,        710,        370,       1670,     245640,      37260,       5530,       4050,       3560,      14210,
00:00:46,     46858,        700,        480,       1990,     241550,      36780,       5610,       3990,       3830,      14000,
00:00:47,     47921,        660,        430,       2160,     241280,      36470,       5910,       4070,       3240,      13800,
00:00:48,     48984,        890,        450,       2040,     243550,      38190,       5500,       4060,       3210,      13570,
00:00:50,     50048,        580,        340,       1810,     240660,      38400,       5830,       3920,       3720,      13570,
00:00:51,     51111,        750,        480,       1670,     240660,      36970,       5970,       3960,       3420,      13020,
00:00:52,     52174,        760,        660,       1850,     237830,      37010,       5580,       3540,       3300,      12400,
00:00:53,     53238,        790,        550,       1550,     235710,      36260,       5730,       3850,       3340,      12810,
00:00:54,     54301,        960,        450,       1720,     235120,      37550,       5580,       3960,       3080,      12880,
00:00:55,     55364,        850,        520,       1700,     231820,      37910,       5750,       3400,       3230,      12480,
00:00:56,     56428,        530,        420,       1760,     229410,      37510,       5750,       4080,       3290,      13190,
00:00:57,     57491,        580,        610,       2160,     230710,      36470,       5810,       3890,       3250,      13140,
00:00:58,     58554,        630,        470,       1670,     230660,      37590,       5580,       3690,       3180,      12270,
00:00:59,     59618,        540,        480,       1570,     231080,      35880,       5850,       4140,       3340,      12970,
00:01:00,     60681,        800,        590,       1870,     228270,      36870,       5540,       3600,       2970,      13600,
00:01:01,     61744,        650,        370,       1570,     226800,      37790,       5340,       3280,       3330,      11640,
00:01:02,     62808,        550,        560,       1700,     226160,      37140,       5450,       3530,       3450,      12720,
00:01:03,     63871,        700,        510,       1820,     222630,      37250,       5480,       3700,       3060,      12680,
00:01:04,     64934,        600,        550,       1790,     224710,      35880,       5820,       3220,       2730,      12670,
00:01:05,     65998,        790,        450,       1810,     222880,      35200,       5300,       3620,       3010,      12340,
00:01:07,     67061,        780,        550,       1850,     222730,      35080,       6220,       3210,       3270,      12940,
00:01:08,     68124,        770,        420,       1580,     219660,      36800,       5420,       3520,       3100,      11940,
00:01:09,     69188,        850,        550,       1790,     220650,      37400,       5200,       3680,       2700,      12680,
00:01:10,     70251,        750,        390,       1940,     218750,      35340,       5650,       3770,       2890,      12750,
00:01:11,     71314,        720,        450,       1690,     214900,      36230,       5750,       3900,       2840,      12640,
00:01:12,     72378,        620,        350,       1650,     212800,      36560,       5350,       3380,       2510,      12570,
00:01:13,     73441,        680,        440,       1720,     214580,      36770,       5550,       3870,       2770,      12150,
00:01:14,     74504,        640,        440,       1300,     210330,      37390,       5120,       3520,       2960,      12330,
00:01:15,     75568,        810,        450,       1570,     214100,      36510,       5380,       3530,       3190,      12480,
00:01:16,     76631,        750,        400,       1400,     210840,      35750,       5240,       3450,       2810,      12500,
